what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1259567991875
started,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1259567991906
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1259567991906
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1259567991921
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200908111817,"org.eclipse.wst.common.project.facet.core",1259567991921
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v200908101420,"org.eclipse.wst.jsdt.core",1259567991953
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1259567991984
started,bundle,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui",1259567991984
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1259567992000
os,sysinfo,,,"win32",1259567992000
arch,sysinfo,,,"x86",1259567992000
ws,sysinfo,,,"win32",1259567992000
locale,sysinfo,,,"zh_CN",1259567992000
processors,sysinfo,,,"2",1259567992000
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1259567992000
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1259567992000
java.specification.name,sysinfo,,,"Java Platform API Specification",1259567992000
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1259567992000
java.specification.version,sysinfo,,,"1.6",1259567992000
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1259567992000
java.version,sysinfo,,,"1.6.0_16",1259567992000
java.vm.info,sysinfo,,,"mixed mode",1259567992000
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1259567992000
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1259567992000
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1259567992000
